tier,theme,level,difficulty_rating,big_rocks,small_rocks,total_rocks,multiplier,total_health,target_value,blue_percent,red_percent,green_percent,total_percent
Tier 1,Normal,1,1.080981838,0,9,9,1,6.75,6.92,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,2,1.159477807,1,8,9,1,7.3125,7.42,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,3,1.243673795,3,5,8,1,7.6875,7.96,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,4,1.333983712,4,4,8,1,8.25,8.54,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,5,1.430851522,5,3,8,1,8.8125,9.16,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,6,1.534753432,4,6,10,1,9.75,9.82,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,7,1.646200223,5,5,10,1,10.3125,10.54,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,8,1.765739773,4,8,12,1,11.25,11.3,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,9,1.893959739,6,5,11,1,11.625,12.12,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,10,2.031490454,6,6,12,1,12.375,13,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,11,2.179008022,5,9,14,1,13.3125,13.95,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,12,2.337237642,6,9,15,1,14.625,14.96,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,13,2.506957176,7,9,16,1,15.9375,16.04,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,14,2.689000968,8,8,16,1,16.5,17.21,33.00%,33.00%,34.00%,100.00%
Tier 1,Normal,15,2.88426395,10,7,17,1,18.375,18.46,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,16,3.093706038,7,0,7,2,18.375,19.8,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,17,3.318356855,7,1,8,2,19.875,21.24,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,18,3.55932079,6,4,10,2,21.75,22.78,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,19,3.817782426,7,4,11,2,24.375,24.43,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,20,4.095012367,8,3,11,2,25.5,26.21,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,21,4.392373481,6,8,14,2,27.75,28.11,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,22,4.711327603,9,4,13,2,29.625,30.15,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,23,5.053442718,10,4,14,2,32.25,32.34,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,24,5.420400671,11,3,14,2,33.375,34.69,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,25,5.814005437,13,2,15,2,37.125,37.21,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,26,6.236191985,15,0,15,2,39.375,39.91,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,27,6.689035794,16,0,16,2,42,42.81,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,28,7.174763054,17,0,17,2,44.625,45.92,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,29,7.695761612,18,1,19,2,48.75,49.25,33.00%,33.00%,34.00%,100.00%
Tier 2,Big,30,8.254592707,20,0,20,2,52.5,52.83,33.00%,33.00%,34.00%,100.00%
