Node,Gold payout,XP payout
1,97,4
2,107,4
3,117,4
4,126,4
5,136,5
6,145,5
7,155,5
8,164,5
9,174,5
10,183,5
11,193,5
12,203,5
13,212,5
14,222,5
15,231,6
16,241,6
17,250,6
18,260,6
19,269,6
20,279,6
21,288,6
22,298,6
23,308,6
24,317,6
25,327,7
26,336,7
27,346,7
28,355,7
29,365,7
30,374,7
31,384,7
32,394,7
33,403,7
34,413,7
35,422,8
36,432,8
37,441,8
38,451,8
39,460,8
40,470,8
41,479,8
42,489,8
43,499,8
44,508,8
45,518,9
46,527,9
47,537,9
48,546,9
49,556,9
50,565,9
51,575,9
52,585,9
53,594,9
54,604,9
55,613,10
56,623,10
57,632,10
58,642,10
59,651,10
60,661,10
61,670,10
62,680,10
63,690,10
64,699,10
65,709,11
66,718,11
67,728,11
68,737,11
69,747,11
70,756,11
71,766,11
72,776,11
73,785,11
74,795,11
75,804,12
76,814,12
77,823,12
78,833,12
79,842,12
80,852,12
81,861,12
82,871,12
83,881,12
84,890,12
85,900,13
86,909,13
87,919,13
88,928,13
89,938,13
90,947,13
91,957,13
92,967,13
93,976,13
94,986,13
95,995,14
96,1005,14
97,1014,14
98,1024,14
99,1074,14
100,1124,14
101,1174,14
102,1224,14
103,1274,14
104,1324,14
105,1330,15
106,1332,15
107,1335,15
108,1337,15
109,1340,15
110,1342,15
111,1344,15
112,1347,15
113,1349,15
114,1351,15
115,1354,16
116,1356,16
117,1358,16
118,1361,16
119,1363,16
120,1365,16
121,1367,16
122,1369,16
123,1372,16
124,1374,16
125,1376,17
126,1378,17
127,1380,17
128,1382,17
129,1384,17
130,1386,17
131,1388,17
132,1390,17
133,1392,17
134,1394,17
135,1396,18
136,1398,18
137,1400,18
138,1402,18
139,1404,18
140,1406,18
141,1408,18
142,1409,18
143,1411,18
144,1413,18
145,1415,19
146,1417,19
147,1419,19
148,1420,19
149,1422,19
150,1424,19
151,1426,19
152,1427,19
153,1429,19
154,1431,19
155,1433,20
156,1434,20
157,1436,20
158,1438,20
159,1439,20
160,1441,20
161,1443,20
162,1444,20
163,1446,20
164,1448,20
165,1449,21
166,1451,21
167,1452,21
168,1454,21
169,1455,21
170,1457,21
171,1459,21
172,1460,21
173,1462,21
174,1463,21
175,1465,22
176,1466,22
177,1468,22
178,1469,22
179,1471,22
180,1472,22
181,1474,22
182,1475,22
183,1477,22
184,1478,22
185,1479,23
186,1481,23
187,1482,23
188,1484,23
189,1485,23
190,1486,23
191,1488,23
192,1489,23
193,1491,23
194,1492,23
195,1493,24
196,1495,24
197,1496,24
198,1497,24
199,1499,24
200,1500,24
