Level,XP Next Level,Cumulative XP
1,12,12
2,14,26
3,17,43
4,21,64
5,25,89
6,31,120
7,37,157
8,45,202
9,55,257
10,67,324
11,82,406
12,100,506
13,122,628
14,149,777
15,182,959
16,222,1181
17,271,1452
18,331,1783
19,404,2187
20,494,2681
21,603,3284
22,737,4021
23,900,4921
24,1099,6020
25,1342,7362
26,1639,9001
27,2001,11002
28,2444,13446
29,2985,16431
30,3646,20077
31,4453,24530
32,5439,29969
33,6644,36613
34,8114,44727
35,9911,54638
36,12105,66743
37,14785,81528
38,18058,99586
39,22056,121642
40,26939,148581
41,32904,181485
42,40189,221674
43,49086,270760
44,59954,330714
45,73228,403942
46,89441,493383
47,109243,602626
48,133430,736056
49,162971,899027
50,199054,1098081
51,243125,1341206
52,296953,1638159
53,362699,2000858
54,443001,2443859
55,541083,2984942
56,660880,3645822
57,807201,4453023
58,985917,5438940
59,1204202,6643142
60,1470816,8113958
61,1796458,9910416
62,2194199,12104615
63,2680000,14784615
64,3273360,18057975
65,3998090,22056065
66,4883278,26939343
67,5964450,32903793
68,7284995,40188788
69,8897913,49086701
70,10867935,59954636
71,13274126,73228762
72,16213054,89441816
73,19802669,109244485
74,24187034,133431519
75,29542110,162973629
76,36082815,199056444
77,44071650,243128094
78,53829235,296957329
79,65747175,362704504
80,80303781,443008285
81,98083260,541091545
82,119799164,660890709
83,146323029,807213738
84,178719351,985933089
85,218288309,1204221398
86,266617942,1470839340
87,325647890,1796487230
88,397747230,2194234460
89,485809564,2680044024
90,593369142,3273413166
91,724742706,3998155872
92,885202740,4883358612
93,1081189068,5964547680
94,1320567310,7285114990
95,1612944554,8898059544
96,1970054927,10868114471
97,2406230522,13274344993
98,2938976596,16213321589
99,3589674120,19802995709
100,4384437871,24187433580
